"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"55930","FRB 20190628B","16:33:48.000","+80:18:00.00","FRB","","405.99","1.62","pc/cc","46.95","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","42809769","","","1","1","2021-06-09","","","2019-06-28 05:56:50.646","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55929","FRB 20190628A","13:16:12.000","+51:45:00.00","FRB","","745.67","1.62","pc/cc","29.82","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","42800571","","","1","1","2021-06-09","","","2019-06-28 02:51:49.813","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55928","FRB 20190627D","19:41:21.600","+43:50:24.00","FRB","","1999.23","6.47","pc/cc","132.24","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","42637411","","","1","1","2021-06-09","","","2019-06-27 09:21:51.705","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55927","FRB 20190627C","17:50:50.400","+71:34:48.00","FRB","","968.88","1.62","pc/cc","47.96","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","42630260","","","1","1","2021-06-09","","","2019-06-27 07:23:22.061","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55926","FRB 20190627B","17:05:38.400","+40:47:24.00","FRB","","428.64","1.62","pc/cc","42.04","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","42625856","","","1","1","2021-06-09","","","2019-06-27 06:46:25.455","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55925","FRB 20190627A","13:03:45.600","+00:45:00.00","FRB","","402.76","1.62","pc/cc","30.46","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","42608900","","","1","1","2021-06-09","","","2019-06-27 02:46:47.465","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"56380","FRB 20190626A","04:49:38.400","+73:39:36.00","FRB","20180814A","194.1","12.94","pc/cc","82.69","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","42545361","","","1","1","2020-03-27","","","2019-06-26 18:37:52.780","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56379","FRB 20190625E","03:57:19.200","+73:38:24.00","FRB","20180814A","187.63","6.47","pc/cc","92.53","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","42435604","","","1","1","2020-03-27","","","2019-06-25 17:43:46.767","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"55924","FRB 20190625D","07:40:16.800","+04:51:36.00","FRB","","716.55","1.62","pc/cc","101.13","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","42450024","","","1","1","2021-06-09","","","2019-06-25 21:27:17.462","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55923","FRB 20190625C","04:53:02.400","+11:19:12.00","FRB","","441.58","1.62","pc/cc","76.86","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","42440661","","","1","1","2021-06-09","","","2019-06-25 18:36:27.862","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55921","FRB 20190625A","15:11:48.000","+32:52:48.00","FRB","","297.62","12.94","pc/cc","23.25","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","42370298","","","1","1","2021-06-09","","","2019-06-25 05:02:46.211","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55920","FRB 20190624B","20:18:26.400","+73:35:24.00","FRB","","215.13","1.62","pc/cc","69.81","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","42295086","","","1","1","2021-06-09","","","2019-06-24 22:11:06.411","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55919","FRB 20190624A","11:13:00.000","+69:37:12.00","FRB","","973.73","3.23","pc/cc","37.73","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","42186702","","","1","1","2021-06-09","","","2019-06-24 01:09:39.475","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55918","FRB 20190623C","12:52:02.400","+86:01:48.00","FRB","","1049.76","1.62","pc/cc","49.39","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","42095127","","","1","1","2021-06-09","","","2019-06-23 15:08:04.558","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55917","FRB 20190623B","22:20:52.800","+46:07:12.00","FRB","","1554.41","1.62","pc/cc","143.8","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","42083844","","","1","1","2021-06-09","","","2019-06-23 12:16:58.160","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55916","FRB 20190623A","18:02:02.400","+24:31:12.00","FRB","","1082.11","1.62","pc/cc","74.35","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","42059187","","","1","1","2021-06-09","","","2019-06-23 07:56:31.631","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55915","FRB 20190622A","19:53:14.400","+85:49:12.00","FRB","","1120.93","1.62","pc/cc","56.82","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41965143","","","1","1","2021-06-09","","","2019-06-22 09:46:17.741","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55914","FRB 20190621D","18:01:38.400","+78:54:00.00","FRB","","645.38","1.62","pc/cc","50.5","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41872738","","","1","1","2021-06-09","","","2019-06-21 08:14:56.374","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55913","FRB 20190621C","13:46:28.800","+05:13:48.00","FRB","","570.98","1.62","pc/cc","25.6","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41866523","","","1","1","2021-06-09","","","2019-06-21 03:49:41.947","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55912","FRB 20190621B","12:52:33.600","+55:38:24.00","FRB","","1059.46","1.62","pc/cc","30.89","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41866423","","","1","1","2021-06-09","","","2019-06-21 02:52:52.355","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55123","FRB 20190621A","12:05:55.200","+74:12:36.00","FRB","20180908A","197.33","3.23","pc/cc","38.84","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41866365","","","1","1","2020-03-27","","","2019-06-21 02:21:23.928","CHIME_FRB_bot","","2020TNSFR.891....1Z","",""
"65018","FRB 20190619H","01:58:00.750","+65:43:00.31","FRB","20180916B","348.76","0.1","pc/cc","200","NE2001","","","","0.0337","FRBCAT","FRBCAT","","FRBCAT","FRB20180916B","","","1","1","","2.3","Other-","2019-06-19 06:41:03.082","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65017","FRB 20190619G","01:58:00.750","+65:43:00.31","FRB","20180916B","348.76","0.1","pc/cc","200","NE2001","","","","0.0337","FRBCAT","FRBCAT","","FRBCAT","FRB20180916B","","","1","1","","0.5","Other-","2019-06-19 03:31:05.976","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65016","FRB 20190619F","01:58:00.750","+65:43:00.31","FRB","20180916B","348.76","0.1","pc/cc","200","NE2001","","","","0.0337","FRBCAT","FRBCAT","","FRBCAT","FRB20180916B","","","1","1","","0.66","Other-","2019-06-19 02:40:12.635","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65015","FRB 20190619E","01:58:00.750","+65:43:00.31","FRB","20180916B","348.76","0.1","pc/cc","200","NE2001","","","","0.0337","FRBCAT","FRBCAT","","FRBCAT","FRB20180916B","","","1","1","","0.74","Other-","2019-06-19 02:18:26.206","FRBCAT_bot","","2020TNSFR2470....1P","",""
"55911","FRB 20190619D","07:39:12.000","+41:35:24.00","FRB","","375.26","12.94","pc/cc","64.09","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41802046","","","1","1","2021-06-09","","","2019-06-19 21:49:52.109","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55910","FRB 20190619C","02:33:09.600","+36:19:48.00","FRB","","486.87","1.62","pc/cc","69.3","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41788644","","","1","1","2021-06-09","","","2019-06-19 16:46:36.290","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55909","FRB 20190619B","15:25:50.400","+82:09:00.00","FRB","","270.12","1.62","pc/cc","46.11","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41750859","","","1","1","2021-06-09","","","2019-06-19 05:45:49.611","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
