"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"132899","FRB 20230718A","08:30:27.100","-41:00:12.80","FRB","","477","0.5","pc/cc","","NE2001","","","","","CRAFT","CRAFT","","CRAFT","FRB230718","","","1","1","","0","Other-","2023-07-18 07:02:08.041","Shannon","","2023TNSFR1723....1S","",""
"132219","FRB 20230708A","20:12:56.900","-55:22:50.40","FRB","","411.51","0.06","pc/cc","","NE2001","","","","","CRAFT","CRAFT","","CRAFT","FRB230708","","","1","1","","0","Other-","2023-07-08 15:32:46.979","Shannon","","2023TNSFR1609....1S","",""
"130110","FRB 20230526A","01:29:27.500","-52:46:07.70","FRB","","316.4","0.2","pc/cc","","NE2001","","","","","CRAFT","CRAFT","","CRAFT","FRB230526","","","1","1","","0","Other-","2023-05-26 23:29:47.094","Shannon","","2023TNSFR1251....1S","",""
"129848","FRB 20230521A","21:51:00.300","-02:23:09.60","FRB","","640.2","0.5","pc/cc","","NE2001","","","","","CRAFT","CRAFT","","CRAFT","FRB230521","","","1","1","","0","Other-","2023-05-21 02:38:08.482","Shannon","","2023TNSFR1196....1S","",""
"121242","FRB 20221128A","07:30:00.000","-41:31:59.00","FRB","","506","","pc/cc","","NE2001","","","","","UTMOST","UTMOST","","UTMOST","FRB20221128","","","1","1","","32","Other-","2022-11-28 17:02:22.720","Mandlik","","2022TNSFR3497....1M","",""
"119850","FRB 20221106A","03:46:38.100","-25:39:44.90","FRB","","343.8","0.8","pc/cc","","NE2001","","","","","CRAFT","CRAFT","","CRAFT","221106","","","1","1","","0","Other-","2022-11-06 21:27:33.197","Shannon","","2022TNSFR3302....1S","",""
"124442","FRB 20221025A","23:13:18.835","+48:43:36.78","FRB","20220912A","222.678","","pc/cc","","","","","","","DSA-110","DSA-110","","DSA-110","221025aanu","","","1","1","","0","L-Band-DSA-110","2022-10-25 04:52:41.108","DSA-110","","2023TNSFR.294....1L","",""
"124441","FRB 20221018A","23:13:55.355","+48:43:35.60","FRB","20220912A","228.26","","pc/cc","","","","","","","DSA-110","DSA-110","","DSA-110","221018aaaj","","","1","1","","0","L-Band-DSA-110","2022-10-18 05:20:48.395","DSA-110","","2023TNSFR.294....1L","",""
"127931","FRB 20221012A","18:43:11.690","+70:31:27.15","FRB","","440.358","","pc/cc","","","","","","","DSA-110","DSA-110","","DSA-110","221012aaab","","","1","1","","0","L-Band-DSA-110","2022-10-12 01:13:34.282","DSA-110","","2023TNSFR.878....1L","",""
"127930","FRB 20220920A","16:01:01.700","+70:55:07.68","FRB","","314.977","","pc/cc","","","","","","","DSA-110","DSA-110","","DSA-110","220920aacl","","","1","1","","0","L-Band-DSA-110","2022-09-20 23:33:27.692","DSA-110","","2023TNSFR.878....1L","",""
"116135","FRB 20220918A","01:10:57.900","-70:47:05.90","FRB","","656.8","0.4","pc/cc","","NE2001","","","","","CRAFT","CRAFT","","CRAFT","FRB 220918","","","1","1","","0","Other-","2022-09-18 17:33:33.736","Shannon","","2022TNSFR2708....1S","",""
"124445","FRB 20220914A","18:48:13.630","+73:20:12.89","FRB","","630.703","","pc/cc","","","","","","","DSA-110","DSA-110","","DSA-110","220914aabz","","","1","1","","0","L-Band-DSA-110","2022-09-14 03:30:11.472","DSA-110","","2023TNSFR.294....1L","",""
"127929","FRB 20220825A","20:47:55.548","+72:35:05.89","FRB","","649.893","","pc/cc","","","","","","","DSA-110","DSA-110","","DSA-110","220825aaad","","","1","1","","0","L-Band-DSA-110","2022-08-25 06:10:30.069","DSA-110","","2023TNSFR.878....1L","",""
